TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_PURPOSE
9219ccc1-8148-486d-bff1-891693d2fafdB2B40E100A8E38FE85A9946A71610A422EBE41DB5466099DA25925FCFF0476DA,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdEFEC51024BE612E0113B03F3D24A54C96D8D77D659E83000A175118C1FA010D6,Debit,Bills
9219ccc1-8148-486d-bff1-891693d2fafd329741A4873FAB15B5748CD3D6F7F1960CF9C9BD2523E6F9C0C8CCE4FB901DBE,Debit,Clothes - Everyday or Work
9219ccc1-8148-486d-bff1-891693d2fafd4A7A9015606AA3D048F1C18FDDB96A4E5A4BD17931476F8C2F8670BFA85F0FF2,Debit,Dining and drinking
61343940-11e3-4ef9-900d-78dee080a879753B1B1209EC63997B6954DBA491F0641495F6D114C6589F5902EE2A5EDF7521,Debit,Lunch or Snacks
61343940-11e3-4ef9-900d-78dee080a8790E0AE9CC5EE401351A70F291E285F8A618E529C595A6B0C1FADE91577DFBD8A9,Debit,Cash
61343940-11e3-4ef9-900d-78dee080a87935DBE3EFF60B162BAACD59B8B16E5EE07322776C6D9CADF6DE17BECEC6155D19,Debit,Council Tax
9219ccc1-8148-486d-bff1-891693d2fafdAAC420CCBCD8936F8D21FD88241A951152DFBB2FBEBF0B511B72DA58680DC138,Credit,No Tag
08cb3cb6-5792-4308-b121-caa94d0a9a5a67733DF0095857849715FD0A0FC2089E05B936992F8050DF6517557222AB48C2,Debit,Bank charges
9219ccc1-8148-486d-bff1-891693d2fafdBE6877AF728EE85886CFD0CD0732E6862051458239DEF1CD84E601B6CA2DA2F0,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafd80EC909ED4B27BDB8E28CEAE4CEC39DB760EEEBCED41E9594D86723A48C5B870,Debit,"Medical, Dental, Eye Care"
9219ccc1-8148-486d-bff1-891693d2fafd1BB4DB6E5F8259D9F613A0D42BFABDE9A964B82E234D96BFB598AA3919A976B3,Debit,Bills
9219ccc1-8148-486d-bff1-891693d2fafdBC7083B1C066BB8B23F11338ECEB94588C489156C970FB35771AE52E4094CC45,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafd481176AFF6453EA2EF4BD0F571B42A19366B270984671E53F499706934B2AD9B,Debit,No Tag
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c09A5E328530362A7B2BA4ACCB9FA3272B9A154516ED02865599D1A5D9553197F6,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879376B5A930A90ECBC255DCD7EC8AA48CE20AD1353EED09935AF244852A022A3E6,Debit,"Entertainment, TV, Media"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f90A9022D06C601DF3DA7DCE30376AA114E4B77CA07C437C24E576B25EFFA3F018,Debit,"Food, Groceries, Household"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f994ED405C12C3FB7E0A1F68056E81E16C78316BB6B416D305E6FF4C92924D4CCE,Debit,Mobile
